resize;376;30;9210888;417
brightness;430;20;9136032;519
contrast;443;28;9189096;486
gray_scale;286;9;9190120;333
sepia;381;15;8993224;430
rotate;447;43;9047752;542
blur;1391;19;9067752;1506
sharpen;1095;36;9081120;1315
convert;1030;30;9408056;1074
crop;238;30;9248272;281
resize;390;7;9268904;413
resize;46;9;10352008;58
resize;248;28;9342584;333
819x532
resize;52;5;10120736;62
brightness;85;9;9977192;95
contrast;95;3;9403312;99
gray_scale;58;10;9774696;68
sepia;89;0;9585256;90
rotate;86;10;9414840;97
blur;250;0;9777904;252
sharpen;203;3;9934376;210
convert;177;21;10090688;200
crop;69;16;10258408;94


resize;361;42;9443288;407
resize;174;13;9881728;190
brightness;264;28;9493584;524
contrast;297;0;9800448;463
gray_scale;176;0;9742488;177
sepia;229;0;9706400;231
rotate;241;20;9738088;314
blur;803;28;9758584;902
sharpen;612;14;9770072;633
convert;640;12;9722496;867
crop;202;27;9771824;294
